Date,obs,sim,
6/14/2011,11.56,1.62,
6/15/2011,11.82,1.583,
6/16/2011,7.07,0.9542,
6/17/2011,9.79,1.477,
6/18/2011,4.18,2.611,
6/19/2011,8.21,1.026,
6/20/2011,6.75,1.896,
6/21/2011,6.08,0.9599,
6/22/2011,13.28,23.05,
6/23/2011,23.92,39.24,
6/24/2011,914,807.9,
6/25/2011,1476.95,606.4,
6/26/2011,1038.03,545.7,
6/27/2011,594.27,377.9,
6/28/2011,211.4,244.4,
6/29/2011,113.77,202.8,
6/30/2011,126.59,156.9,
7/1/2011,111.06,106.9,
7/2/2011,71.62,70.31,
7/3/2011,190.52,300.9,
7/4/2011,405.24,213.5,
7/5/2011,162.91,134,
7/6/2011,89.04,88.15,
7/7/2011,60.29,60.83,
7/8/2011,190.13,203.5,
7/9/2011,311.15,219.2,
7/10/2011,405.25,315.4,
7/11/2011,472.03,263.4,
7/12/2011,338.14,241.3,
7/13/2011,247.78,225.5,
7/14/2011,183.95,195.1,
7/15/2011,140.1,142.1,
7/16/2011,94.35,96.47,
7/17/2011,66.29,62.96,
7/18/2011,46.82,36.69,
7/19/2011,36.99,34.6,
7/20/2011,27.64,22.72,
7/21/2011,24.62,12.29,
7/22/2011,19.41,8.058,
7/23/2011,19.49,11.75,
7/24/2011,41.74,70.05,
7/25/2011,95.98,86.68,
7/26/2011,70.96,66.14,
7/27/2011,124.9,157.9,
7/28/2011,276.68,125.4,
7/29/2011,120.64,85.18,
7/30/2011,78.75,65.88,
7/31/2011,65.2,45.82,
8/1/2011,51.52,60.69,
8/2/2011,119.01,165.1,
8/3/2011,198.7,125.5,
8/4/2011,129.99,80.25,
8/5/2011,82.33,48.72,
8/6/2011,52.11,33.15,
8/7/2011,40.77,16.85,
8/8/2011,64.81,61.25,
8/9/2011,71.05,94.74,
8/10/2011,65.83,84.05,
8/11/2011,53.53,53.32,
8/12/2011,62.33,64.09,
8/13/2011,74.1,46.03,
8/14/2011,53.18,28.85,
8/15/2011,33.18,16.29,
8/16/2011,48.95,104.5,
8/17/2011,131.92,228,
8/18/2011,692.93,288.8,
8/19/2011,289.9,210.5,
8/20/2011,160.89,154.7,
8/21/2011,96.97,101.6,
8/22/2011,71.42,69.8,
8/23/2011,47.97,45.47,
8/24/2011,46.19,29.76,
8/25/2011,39.46,17.59,
8/26/2011,23.33,10.83,
8/27/2011,28.7,5.884,
8/28/2011,23.38,4.967,
8/29/2011,23.31,4.617,
8/30/2011,18.03,31.31,
8/31/2011,23.55,18.45,
9/1/2011,13.63,8.674,
9/2/2011,13.59,6.569,
9/3/2011,8.6,5.706,
9/4/2011,16.12,6.976,
9/5/2011,13.66,9.449,
9/6/2011,18.86,5.633,
9/7/2011,8.62,5.565,
9/8/2011,9.84,6.221,
9/9/2011,10.38,6.841,
9/10/2011,24.62,49.7,
9/11/2011,172.84,229.7,
9/12/2011,218.25,204.4,
9/13/2011,161.67,138.4,
9/14/2011,87.94,89.74,
9/15/2011,53.01,59.28,
9/16/2011,45.4,38.77,
9/17/2011,34.7,24.62,
9/18/2011,29.38,17.87,
9/19/2011,18.66,11.58,
9/20/2011,18.94,5.649,
9/21/2011,18.95,5.051,
9/22/2011,13.42,4.973,
9/23/2011,13.54,4.947,
9/24/2011,13.63,5.029,
9/25/2011,8.4,5.101,
9/26/2011,13.63,4.818,
9/27/2011,3.32,4.709,
9/28/2011,13.72,6.014,
9/29/2011,13.92,8.568,
9/30/2011,8.8,5.745,
10/1/2011,9.54,5.745,
10/2/2011,9.54,5.591,
10/3/2011,9.35,5.405,
10/4/2011,3.94,5.329,
10/5/2011,3.51,5.341,
10/6/2011,4.81,4.746,
10/7/2011,8.93,5.048,
10/8/2011,5.08,5.289,
10/9/2011,4.53,5.868,
10/10/2011,4.56,5.327,
10/11/2011,4.54,5.011,
10/12/2011,8.51,5.612,
10/13/2011,0.25,4.903,
10/14/2011,10.84,7.137,
10/15/2011,9.83,7.624,
10/16/2011,4.71,5.612,
10/17/2011,4.66,4.46,
10/18/2011,4.85,5.17,
10/19/2011,4.8,5.241,
10/20/2011,4.73,5.022,
10/21/2011,9.85,6.923,
10/22/2011,55.48,58,
10/23/2011,30.07,43.36,
10/24/2011,20.02,26.93,
10/25/2011,14.57,13.44,
10/26/2011,9.78,6.879,
10/27/2011,9.84,5.861,
10/28/2011,8.52,5.795,
10/29/2011,4.73,6.015,
10/30/2011,9.63,5.824,
10/31/2011,9.62,5.287,
11/1/2011,4.77,5.493,
11/2/2011,4.86,5.477,
11/3/2011,9.96,4.912,
11/4/2011,4.81,4.969,
11/5/2011,14.91,8.539,
11/6/2011,10.07,11.27,
11/7/2011,4.96,9.025,
11/8/2011,9.81,7.127,
11/9/2011,4.89,6.32,
11/10/2011,10.26,5.448,
11/11/2011,4.84,5.846,
11/12/2011,10,5.435,
11/13/2011,4.98,5.274,
11/14/2011,4.77,4.557,
11/15/2011,9.76,4.962,
11/16/2011,4.97,5.06,
11/17/2011,4.88,5.718,
11/18/2011,14.99,9.22,
11/19/2011,4.94,7.4,
11/20/2011,4.9,4.983,
11/21/2011,4.83,5.071,
11/22/2011,4.93,5.767,
11/23/2011,4.65,6.012,
11/24/2011,4.83,4.809,
11/25/2011,4.96,5.097,
11/26/2011,4.83,5.471,
11/27/2011,5.02,5.43,
11/28/2011,0,5.706,
11/29/2011,9.9,5.49,
11/30/2011,19.84,53.55,
12/1/2011,14.88,40.33,
12/2/2011,14.9,24.41,
12/3/2011,19.9,38.41,
12/4/2011,19.92,25.47,
12/5/2011,24.93,14.16,
12/6/2011,17.16,7.728,
12/7/2011,17.02,6.326,
12/8/2011,12.09,5.332,
12/9/2011,12.13,5.208,
12/10/2011,6.98,4.886,
12/11/2011,12.07,4.898,
12/12/2011,7.1,5.187,
12/13/2011,12.11,5.288,
12/14/2011,7.17,5.238,
12/15/2011,6.3,3.701,
12/16/2011,7.2,4.454,
12/17/2011,7.08,4.769,
12/18/2011,2.27,4.925,
12/19/2011,2.21,4.857,
12/20/2011,7.16,5.063,
12/21/2011,7.18,5.22,
12/22/2011,3.08,4.235,
12/23/2011,2.45,4.835,
12/24/2011,2.58,4.698,
12/25/2011,2.7,4.257,
12/26/2011,2.32,4.392,
12/27/2011,2.41,5.065,
12/28/2011,2.59,5.103,
12/29/2011,7.33,4.84,
12/30/2011,2.49,5.065,
12/31/2011,7.35,4.937,
1/1/2012,2.36,4.711,
1/2/2012,5.76,4.879,
1/3/2012,0.76,4.923,
1/4/2012,0.72,4.361,
1/5/2012,5.48,4.524,
1/6/2012,0.65,4.773,
1/7/2012,5.64,4.913,
1/8/2012,0.93,4.695,
1/9/2012,5.53,4.574,
1/10/2012,5.58,4.575,
1/11/2012,0.88,4.224,
1/12/2012,1.29,4.568,
1/13/2012,1.02,4.687,
1/14/2012,0.86,4.366,
1/15/2012,5.66,4.766,
1/16/2012,1.1,4.911,
1/17/2012,0.99,5.108,
1/18/2012,5.8,4.9,
1/19/2012,5.9,4.84,
1/20/2012,10.58,4.57,
1/21/2012,0.93,4.854,
1/22/2012,5.46,3.976,
1/23/2012,1.12,3.996,
1/24/2012,5.88,4.269,
1/25/2012,1.11,4.195,
1/26/2012,1.41,4.56,
1/27/2012,1.22,4.872,
1/28/2012,1.78,4.362,
1/29/2012,5.92,4.059,
1/30/2012,1.38,3.619,
1/31/2012,5.86,4.699,
2/1/2012,1.67,4.297,
2/2/2012,1.76,4.493,
2/3/2012,1.75,4.698,
2/4/2012,1.76,4.597,
2/5/2012,1.68,4.727,
2/6/2012,1.88,4.711,
2/7/2012,1.92,3.883,
2/8/2012,1.76,4.104,
2/9/2012,1.65,4.25,
2/10/2012,2.03,4.308,
2/11/2012,2.94,4.062,
2/12/2012,2.3,4.513,
2/13/2012,0.13,4.552,
2/14/2012,2.18,4.393,
2/15/2012,0,4.12,
2/16/2012,3.85,3.374,
2/17/2012,4.32,3.592,
2/18/2012,4.42,3.816,
2/19/2012,3.77,3.975,
2/20/2012,0,4.236,
2/21/2012,4.1,4.34,
2/22/2012,0.19,4.378,
2/23/2012,4.54,3.929,
2/24/2012,5.04,3.924,
2/25/2012,4.34,4.244,
2/26/2012,0.09,4.262,
2/27/2012,0.15,4.172,
2/28/2012,4.25,4.282,
2/29/2012,4.41,4.219,
3/1/2012,6.48,3.816,
3/2/2012,2.32,4.254,
3/3/2012,2.23,3.926,
3/4/2012,6.67,4.136,
3/5/2012,11.02,7.523,
3/6/2012,4.27,6.66,
3/7/2012,3.09,5.158,
3/8/2012,3.16,4.572,
3/9/2012,7.95,4.113,
3/10/2012,3.71,3.985,
3/11/2012,3.89,2.959,
3/12/2012,3.36,1.629,
3/13/2012,4.1,3.279,
3/14/2012,4.04,3.314,
3/15/2012,5.87,3.131,
3/16/2012,8.38,5.313,
3/17/2012,8.21,5.66,
3/18/2012,12.63,4.328,
3/19/2012,12.61,3.588,
3/20/2012,8.16,2.944,
3/21/2012,11.55,2.716,
3/22/2012,13.88,3.036,
3/23/2012,9.74,7.984,
3/24/2012,16.37,4.933,
3/25/2012,12.63,3.336,
3/26/2012,13.12,2.805,
3/27/2012,10.28,2.452,
3/28/2012,9.83,2.891,
3/29/2012,8.89,3.064,
3/30/2012,38.46,46.84,
3/31/2012,74.74,31.89,
4/1/2012,54.4,16.2,
4/2/2012,34.59,19.23,
4/3/2012,102.95,85.56,
4/4/2012,148.57,66,
4/5/2012,83.56,39.36,
4/6/2012,56.72,22.33,
4/7/2012,37,10.46,
4/8/2012,39.99,2.311,
4/9/2012,27.67,8.955,
4/10/2012,27.64,18.71,
4/11/2012,31.77,14.45,
4/12/2012,23.77,2.91,
4/13/2012,31.84,3.314,
4/14/2012,23.1,2.364,
4/15/2012,22.73,2.197,
4/16/2012,14.34,1.708,
4/17/2012,19.58,2.01,
4/18/2012,15.67,2.232,
4/19/2012,11.04,2.399,
4/20/2012,11.53,2.305,
4/21/2012,35.44,72.41,
4/22/2012,132.42,71.7,
4/23/2012,133.11,47.21,
4/24/2012,71.99,26.04,
4/25/2012,64.26,46.1,
4/26/2012,68.08,26.79,
4/27/2012,51.74,11.35,
4/28/2012,35.79,3.446,
4/29/2012,35.64,4.072,
4/30/2012,27.2,1.891,
5/1/2012,23.4,2.345,
5/2/2012,19.63,3.021,
5/3/2012,32.09,3.364,
5/4/2012,16.41,1.67,
5/5/2012,16.1,1.115,
5/6/2012,13.45,1.101,
5/7/2012,7.84,1.389,
5/8/2012,9.07,2.154,
5/9/2012,5.66,1.649,
5/10/2012,13.67,2.665,
5/11/2012,2.91,2.692,
5/12/2012,8.77,2.097,
5/13/2012,5.79,2.373,
5/14/2012,17.66,13.35,
5/15/2012,14.71,5.834,
5/16/2012,14.66,3.117,
5/17/2012,7.07,3.87,
5/18/2012,11,2.792,
5/19/2012,6.78,2.519,
5/20/2012,3.46,1.355,
5/21/2012,8.84,1.257,
5/22/2012,6.7,1.275,
5/23/2012,6.75,1.626,
5/24/2012,6.71,1.857,
5/25/2012,3.26,1.465,
5/26/2012,6.41,1.358,
5/27/2012,3.65,1.165,
5/28/2012,9.81,2.158,
5/29/2012,4.32,2.382,
5/30/2012,3.69,3.423,
5/31/2012,7.25,6.797,
6/1/2012,8.23,2.113,
6/2/2012,10.76,2.032,
6/3/2012,7.31,1.291,
6/4/2012,4.96,1.23,
6/5/2012,2.63,1.15,
6/6/2012,2.44,1.226,
6/7/2012,6.34,1.727,
6/8/2012,6.53,6.727,
6/9/2012,5.34,3.888,
6/10/2012,2.18,2.367,
6/11/2012,3.55,2.968,
6/12/2012,4.06,1.579,
6/13/2012,1.03,1.671,
6/14/2012,4.72,1.619,
6/15/2012,4.69,4.546,
6/16/2012,6.63,2.715,
6/17/2012,3.33,1.592,
6/18/2012,2.12,2.68,
6/19/2012,2.75,1.826,
6/20/2012,3.14,1.559,
6/21/2012,0.31,11.82,
6/22/2012,9.81,5.671,
6/23/2012,3.08,2.676,
6/24/2012,2.33,2.095,
6/25/2012,1.6,2.187,
6/26/2012,2.38,1.323,
6/27/2012,2.36,2.112,
6/28/2012,2.84,1.43,
6/29/2012,0.03,1.166,
6/30/2012,20.82,53.95,
7/1/2012,10.33,35.12,
7/2/2012,13.47,17.24,
7/3/2012,4.75,4.173,
7/4/2012,8.13,1.329,
7/5/2012,11.2,9.628,
7/6/2012,248.71,425.5,
7/7/2012,385.2,281.2,
7/8/2012,120.1,164,
7/9/2012,63.62,126.7,
7/10/2012,48,87.05,
7/11/2012,36,71.57,
7/12/2012,30.91,45.92,
7/13/2012,30.75,42.71,
7/14/2012,36.38,37.44,
7/15/2012,421.23,522.6,
7/16/2012,669.22,329.1,
7/17/2012,208.33,197.7,
7/18/2012,114.4,149.1,
7/19/2012,83.14,153.1,
7/20/2012,107.87,114,
7/21/2012,74.09,74.39,
7/22/2012,55.18,50.77,
7/23/2012,41.64,30.39,
7/24/2012,31.08,14.39,
7/25/2012,27.21,3.051,
7/26/2012,23.62,1.118,
7/27/2012,19.68,0.94,
7/28/2012,16.17,0.9307,
7/29/2012,12.45,0.9189,
7/30/2012,12.34,0.9216,
7/31/2012,12.52,0.9201,
8/1/2012,6.35,0.8884,
8/2/2012,10.14,0.9606,
8/3/2012,10.23,0.9086,
8/4/2012,3.12,0.9038,
8/5/2012,6.73,0.8977,
8/6/2012,11.44,0.8818,
8/7/2012,3.34,0.8802,
8/8/2012,6.82,1.055,
8/9/2012,3.6,1.213,
8/10/2012,10.51,2.812,
8/11/2012,3.6,2.269,
8/12/2012,17.7,36.2,
8/13/2012,177.64,138.4,
8/14/2012,101.81,104.4,
8/15/2012,70.05,171.1,
8/16/2012,209.61,266.8,
8/17/2012,307.87,239.7,
8/18/2012,208.5,217.2,
8/19/2012,90.81,129.8,
8/20/2012,59.42,89.97,
8/21/2012,51.14,57.44,
8/22/2012,75.28,222.6,
8/23/2012,322.22,240.5,
8/24/2012,251.23,185.9,
8/25/2012,138.94,125.8,
8/26/2012,96.87,79.15,
8/27/2012,66.91,49.61,
8/28/2012,50.45,68.67,
8/29/2012,143.98,51.73,
8/30/2012,137,147.6,
8/31/2012,265.54,115,
9/1/2012,143.5,74.01,
9/2/2012,85.73,44.78,
9/3/2012,63.42,25.58,
9/4/2012,49.99,32.37,
9/5/2012,54.52,50.95,
9/6/2012,45.83,31.26,
9/7/2012,31.89,15.7,
9/8/2012,81.88,85.48,
9/9/2012,74.77,67.39,
9/10/2012,52.13,45.62,
9/11/2012,42.78,25.21,
9/12/2012,33.88,13.82,
9/13/2012,29.29,8.557,
9/14/2012,29.27,12.42,
9/15/2012,23.29,8.518,
9/16/2012,52.21,96.77,
9/17/2012,304.2,352,
9/18/2012,538.04,231.9,
9/19/2012,167.43,134.7,
9/20/2012,100.01,82.86,
9/21/2012,59.9,54.48,
9/22/2012,54.91,34.55,
9/23/2012,35.02,19.06,
9/24/2012,35.15,7.982,
9/25/2012,25.15,4.105,
9/26/2012,25.08,4.452,
9/27/2012,20.12,4.679,
9/28/2012,20.01,4.198,
9/29/2012,15.1,3.752,
9/30/2012,10.04,4.158,
10/1/2012,17,4.026,
10/2/2012,7.07,4.087,
10/3/2012,7.16,3.761,
10/4/2012,12.21,3.968,
10/5/2012,15.14,4.586,
10/6/2012,5.06,4.256,
10/7/2012,10.09,3.915,
10/8/2012,5.24,3.965,
10/9/2012,10.11,4.322,
10/10/2012,10.24,4.917,
10/11/2012,5.12,4.289,
10/12/2012,5.2,4.144,
10/13/2012,5.03,4.323,
10/14/2012,10.04,4.113,
10/15/2012,0.1,4.017,
10/16/2012,5.15,3.881,
10/17/2012,10.04,4.917,
10/18/2012,5.12,4.275,
10/19/2012,5.19,4.105,
10/20/2012,5.12,4.215,
10/21/2012,5.23,4.04,
10/22/2012,15.05,26.91,
10/23/2012,14.98,13.25,
10/24/2012,10.11,6.801,
10/25/2012,10.08,5.314,
10/26/2012,5.27,4.735,
10/27/2012,10.07,9.577,
10/28/2012,10.1,5.29,
10/29/2012,5.09,5.177,
10/30/2012,10.21,4.333,
10/31/2012,5.18,4.217,
11/1/2012,1.64,3.536,
11/2/2012,6.45,4.17,
11/3/2012,6.41,4.25,
11/4/2012,1.94,5.282,
11/5/2012,6.47,4.575,
11/6/2012,1.7,5.181,
11/7/2012,6.37,4.489,
11/8/2012,6.6,4.791,
11/9/2012,6.63,4.309,
11/10/2012,6.42,3.704,
11/11/2012,6.43,8.526,
11/12/2012,6.54,5.364,
11/13/2012,6.57,5.34,
11/14/2012,6.6,4.194,
11/15/2012,6.98,4.412,
11/16/2012,6.52,5.726,
11/17/2012,6.63,4.63,
11/18/2012,11.29,4.382,
11/19/2012,1.73,4.235,
11/20/2012,2.62,4.024,
11/21/2012,6.59,4.581,
11/22/2012,6.82,4.472,
11/23/2012,1.7,4.336,
11/24/2012,5.89,3.992,
11/25/2012,1.11,4.322,
11/26/2012,5.99,3.696,
11/27/2012,6.38,3.819,
11/28/2012,2,4.43,
11/29/2012,6.7,4.222,
11/30/2012,1.88,4.312,
12/1/2012,7.38,3.926,
12/2/2012,2.6,4.559,
12/3/2012,2.74,4.659,
12/4/2012,2.64,3.663,
12/5/2012,3.01,4.334,
12/6/2012,2.47,4.147,
12/7/2012,2.62,4.676,
12/8/2012,3.16,4.225,
12/9/2012,2.99,4.107,
12/10/2012,0,4.358,
12/11/2012,2.99,4.54,
12/12/2012,2.98,4.578,
12/13/2012,3.07,4.569,
12/14/2012,12.35,4.572,
12/15/2012,12.32,4.596,
12/16/2012,21.85,4.578,
12/17/2012,17.08,4.34,
12/18/2012,11.55,3.879,
12/19/2012,3.27,4.36,
12/20/2012,3.15,4.426,
12/21/2012,12.32,4.483,
12/22/2012,8,4.364,
12/23/2012,7.98,3.802,
12/24/2012,3.25,4.224,
12/25/2012,3.3,3.843,
12/26/2012,0,4.19,
12/27/2012,3.41,4.388,
12/28/2012,12.72,4.421,
12/29/2012,8.06,4.441,
12/30/2012,3.65,3.873,
12/31/2012,3.64,3.888,
1/1/2013,5.91,4.357,
1/2/2013,1.31,3.822,
1/3/2013,2.77,3.955,
1/4/2013,5.96,4.303,
1/5/2013,1.49,4.204,
1/6/2013,1.59,4.242,
1/7/2013,1.64,4.191,
1/8/2013,6.11,4.061,
1/9/2013,1.86,3.612,
1/10/2013,1.89,3.975,
1/11/2013,6.29,4.211,
1/12/2013,2,4.131,
1/13/2013,2.01,4.198,
1/14/2013,1.99,4.069,
1/15/2013,2.05,4.175,
1/16/2013,6.57,4.03,
1/17/2013,2.24,3.744,
1/18/2013,6.63,3.919,
1/19/2013,2.29,3.959,
1/20/2013,2.35,3.992,
1/21/2013,15.54,5.174,
1/22/2013,6.83,4.123,
1/23/2013,11.38,4.111,
1/24/2013,7.02,3.494,
1/25/2013,7.12,3.008,
1/26/2013,2.79,3.171,
1/27/2013,2.55,3.53,
1/28/2013,2.91,3.709,
1/29/2013,2.76,3.914,
1/30/2013,3.33,3.96,
1/31/2013,7.29,3.953,
2/1/2013,35.65,7.887,
2/2/2013,56.17,4.756,
2/3/2013,47.49,4.625,
2/4/2013,35.37,5.285,
2/5/2013,30.8,4.786,
2/6/2013,17.84,4.246,
2/7/2013,17.86,3.318,
2/8/2013,13.5,3.619,
2/9/2013,9.09,3.452,
2/10/2013,8.59,3.347,
2/11/2013,13.89,3.377,
2/12/2013,5.86,3.43,
2/13/2013,9.16,3.426,
2/14/2013,5.2,3.487,
2/15/2013,13.69,2.885,
2/16/2013,5.23,3.316,
2/17/2013,9.48,3.39,
2/18/2013,9.45,3.479,
2/19/2013,0.84,2.776,
2/20/2013,9.5,2.626,
2/21/2013,5.42,2.918,
2/22/2013,5.45,2.997,
2/23/2013,6.69,2.631,
2/24/2013,5.56,2.943,
2/25/2013,5.56,3.241,
2/26/2013,5.64,3.361,
2/27/2013,9.75,4.183,
2/28/2013,9.62,4.057,
3/1/2013,9.91,3.634,
3/2/2013,5.79,3.489,
3/3/2013,9.96,3.165,
3/4/2013,5.97,3.131,
3/5/2013,5.95,2.839,
3/6/2013,6.01,3.427,
3/7/2013,5.94,4.716,
3/8/2013,10.16,9.253,
3/9/2013,6.12,22.34,
3/10/2013,17.39,11.31,
3/11/2013,14.09,7.743,
3/12/2013,19.29,5.255,
3/13/2013,26.4,30.47,
3/14/2013,34.56,19.57,
3/15/2013,34.59,7.915,
3/16/2013,26.31,3.437,
3/17/2013,22.31,4.205,
3/18/2013,58.84,62.45,
3/19/2013,67.05,47.16,
3/20/2013,55.14,45.76,
3/21/2013,46.91,29.74,
3/22/2013,41.11,16.28,
3/23/2013,30.74,7.086,
3/24/2013,30.95,2.932,
3/25/2013,22.67,2.669,
3/26/2013,22.7,2.792,
3/27/2013,22.65,2.17,
3/28/2013,18.67,2.126,
3/29/2013,14.51,1.835,
3/30/2013,14.68,2.694,
3/31/2013,14.73,2.768,
4/1/2013,10.64,2.637,
4/2/2013,14.71,2.581,
4/3/2013,10.74,2.337,
4/4/2013,14.61,11.23,
4/5/2013,10.91,26.84,
4/6/2013,39.36,74.21,
4/7/2013,47.26,56.3,
4/8/2013,31,32.26,
4/9/2013,30.96,14.01,
4/10/2013,23.01,5.861,
4/11/2013,22.94,2.624,
4/12/2013,22.87,2.28,
4/13/2013,11.12,1.778,
4/14/2013,19.11,11.83,
4/15/2013,14.97,7.052,
4/16/2013,13.9,22.4,
4/17/2013,13.95,18.45,
4/18/2013,14.01,5.655,
4/19/2013,13.97,1.799,
4/20/2013,17.93,14.27,
4/21/2013,17.93,4.877,
4/22/2013,9.96,2.723,
4/23/2013,26.46,12.45,
4/24/2013,25.83,14.27,
4/25/2013,30.49,18.26,
4/26/2013,30.01,11.65,
4/27/2013,31.05,3.27,
4/28/2013,23.26,2.187,
4/29/2013,17.72,4.399,
4/30/2013,26.02,2.071,
5/1/2013,19.17,2.869,
5/2/2013,15.1,3.266,
5/3/2013,19.07,2.84,
5/4/2013,19.43,1.616,
5/5/2013,11.33,1.061,
5/6/2013,11.18,1.024,
5/7/2013,7.24,1.048,
5/8/2013,15.28,1.403,
5/9/2013,9.75,1.892,
5/10/2013,22.4,9.42,
5/11/2013,14.84,3.656,
5/12/2013,11.16,1.909,
5/13/2013,10.97,1.358,
5/14/2013,11.2,1.508,
5/15/2013,7.65,1.037,
5/16/2013,8.69,1.01,
5/17/2013,4.96,1.468,
5/18/2013,8.63,1.736,
5/19/2013,27.99,35.59,
5/20/2013,20.19,17.67,
5/21/2013,20.19,4.487,
5/22/2013,20.06,3.005,
5/23/2013,12.46,1.719,
5/24/2013,12.66,1.335,
5/25/2013,12.7,1.258,
5/26/2013,8.94,1.517,
